game_id,title,description,price,platform,genre,developer,stock_quantity,release_date
1,NIBH IN HAC HABITASSE,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,32,PS5,stealth,Welch Group,44,2009-07-14
2,EU MAGNA VULPUTATE,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",15,PC,horror,Turner and Sons,170,2008-05-24
3,HAC,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",16,PC,puzzle,"Green, Dickens and Howe",6,2010-01-17
4,MUS ETIAM VEL,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",39,PS5,music,Zulauf and Sons,294,2009-07-25
5,IN PORTTITOR PEDE JUSTO,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,44,Xbox,adventure,"Volkman, West and Franecki",343,2018-10-14
6,LAOREET UT RHONCUS ALIQUET PULVINAR,Integer ac leo. Pellentesque ultrices mattis odio.,18,PS5,puzzle,Bosco-Rolfson,16,2010-06-21
7,DONEC UT DOLOR MORBI VEL,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,28,PC,platformer,Swift-Heller,7,2022-02-09
8,LOBORTIS,Curabitur at ipsum ac tellus semper interdum.,12,PC,adventure,Roberts-Waters,30,2002-05-09
9,SUSPENDISSE ORNARE CONSEQUAT LECTUS IN,Vestibulum sed magna at nunc commodo placerat.,12,Switch,horror,"Hauck, Stehr and Gibson",251,1994-12-19
10,VULPUTATE NONUMMY MAECENAS,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",47,Switch,simulation,Fritsch-Klocko,464,1995-11-15
11,ID SAPIEN,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,57,Xbox,sandbox,Rohan-Sanford,127,2022-09-03
12,MAURIS ULLAMCORPER PURUS SIT,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",52,Xbox,fighting,Kshlerin and Sons,114,2008-11-29
13,NUNC VESTIBULUM,Duis bibendum. Morbi non quam nec dui luctus rutrum.,5,Switch,party,Mayert LLC,209,2017-07-01
14,EGET TEMPUS VEL PEDE MORBI,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",19,Xbox,sports,"Strosin, Dickens and Fadel",308,1998-04-20
